Pos,Clube,V,E,D,SG,Pts,gol_pro,gol_con,gol_pro_pj,gol_con_pj,aprov,gol_pro/med,gol_con/med,campeão,rebaixou,Liberta
19,Grêmio Prudente Futebol Ltda,4,7,8,-6,16,19,25,1.0000,1.3160,0.2807,0.8155,1.0730,0,1,0
20,Goiás EC,3,4,12,-21,13,16,37,0.8420,1.9470,0.2281,0.6867,1.5880,0,1,0
1,SC Corinthians,11,4,4,12,37,30,18,1.5790,0.9470,0.6491,1.1976,0.7186,1,0,1
2,CR Flamengo,9,9,1,12,36,33,21,1.7370,1.1050,0.6316,1.3174,0.8383,0,0,1
3,São Paulo FC,10,5,4,7,35,30,23,1.5790,1.2110,0.6140,1.1976,0.9182,0,0,1
4,CR Vasco da Gama,10,5,4,5,35,26,21,1.3680,1.1050,0.6140,1.0379,0.8383,0,0,1
5,Botafogo FR,10,4,5,10,34,29,19,1.5260,1.0000,0.5965,1.1577,0.7585,0,0,0
6,SE Palmeiras,8,8,3,11,32,25,14,1.3160,0.7370,0.5614,0.9980,0.5589,0,0,0
7,Cruzeiro EC,8,3,8,6,27,26,20,1.3680,1.0530,0.4737,1.0379,0.7984,0,0,0
8,SC Internacional,7,6,6,4,27,28,24,1.4740,1.2630,0.4737,1.1178,0.9581,0,0,1
9,Coritiba FC,7,5,7,8,26,32,24,1.6840,1.2630,0.4561,1.2774,0.9581,0,0,0
10,Figueirense FC,7,5,7,-3,26,21,24,1.1050,1.2630,0.4561,0.8383,0.9581,0,0,0
11,Fluminense FC,8,1,10,0,25,22,22,1.1580,1.1580,0.4386,0.8782,0.8782,0,0,1
12,Atlético Goianiense,7,4,8,1,25,22,21,1.1580,1.1050,0.4386,0.8782,0.8383,0,0,0
13,Ceará SC,7,4,8,-1,25,27,28,1.4210,1.4740,0.4386,1.0778,1.1178,0,1,0
14,Grêmio FBPA,6,6,7,-4,24,19,23,1.0000,1.2110,0.4211,0.7585,0.9182,0,0,0
15,Santos FC,6,4,9,-6,22,23,29,1.2110,1.5260,0.3860,0.9182,1.1577,0,0,0
16,EC Bahia,4,8,7,-6,20,21,27,1.1050,1.4210,0.3509,0.8383,1.0778,0,0,0
17,Clube Atlético Paranaense,4,6,9,-8,18,20,28,1.0530,1.4740,0.3158,0.7984,1.1178,0,1,0
18,Avaí FC,4,5,10,-19,17,21,40,1.1050,2.1050,0.2982,0.8383,1.5968,0,1,0
19,Atlético Mineiro,4,3,12,-14,15,24,38,1.2630,2.0000,0.2632,0.9581,1.5170,0,0,0
20,América Mineiro,2,7,10,-15,13,22,37,1.1580,1.9470,0.2281,0.8782,1.4770,0,1,0
1,Atlético Mineiro,13,4,2,19,43,34,15,1.7890,0.7890,0.7544,1.4561,0.6424,0,0,1
2,Fluminense FC,12,6,1,20,42,31,11,1.6320,0.5790,0.7368,1.3276,0.4711,1,0,1
3,Grêmio FBPA,12,1,6,13,37,29,16,1.5260,0.8420,0.6491,1.2420,0.6852,0,0,1
4,CR Vasco da Gama,10,5,4,8,35,25,17,1.3160,0.8950,0.6140,1.0707,0.7281,0,0,1
5,São Paulo FC,10,1,8,5,31,29,24,1.5260,1.2630,0.5439,1.2420,1.0278,0,0,1
6,SC Internacional,8,7,4,7,31,22,15,1.1580,0.7890,0.5439,0.9422,0.6424,0,0,0
7,CR Flamengo,8,5,6,0,29,23,23,1.2110,1.2110,0.5088,0.9850,0.9850,0,0,0
8,Botafogo FR,8,4,7,6,28,30,24,1.5790,1.2630,0.4912,1.2848,1.0278,0,0,0
9,Cruzeiro EC,8,4,7,-3,28,24,27,1.2630,1.4210,0.4912,1.0278,1.1563,0,0,0
